me,parent,tau_sums,lambda_sums
0 2 2 0,0 2 2,399.86671109630123,0.05778336 0.01666767 0.17970337 ... 0.31422232 0.06316937 0.15885042
0 2 2 1,0 2 2,333.2222592469177,0.06158586 0.28508261 0.15531463 ... 0.04271609 0.0043519  0.29576298
0 2 2 2,0 2 2,333.2222592469177,0.31234555 0.01511667 0.11796292 ... 0.09139941 0.04626246 0.45422552
0 1 3 0,0 1 3,1916.0279906697767, 0.05073378  0.17483085 27.70355451 ... 24.67991112  0.09475717
  0.53924645
0 1 3 1,0 1 3,1532.8223925358213,1.34304378e+01 6.56470285e-01 1.62618349e-02 ... 7.13893544e-02
 2.73574277e-02 1.22977690e-02
0 1 3 2,0 1 3,1149.616794401866,4.70898958e-01 2.17000409e-02 1.40095402e+01 ... 7.58776702e-03
 2.42403695e-01 3.10868847e-01
0 4 1 0,0 4 1,283.23892035988,2.80893408e-01 6.72797573e-01 6.16645150e+01 ... 6.85290616e-02
 3.16577896e-02 2.62866043e-01
0 4 1 1,0 4 1,249.91669443518828,5.30208312e-01 6.66003573e-03 6.67614547e+01 ... 1.73339940e-01
 4.79602662e-01 5.36930323e-02
0 4 1 2,0 4 1,249.91669443518828,0.18444276 0.11289346 0.32671738 ... 0.15666488 0.0175383  0.31156744
0 0 4 0,0 0 4,2232.5891369543488,0.02589583 0.07433406 0.02904935 ... 0.15641758 0.03468922 0.42473942
0 0 4 1,0 0 4,1866.044651782739,0.01384671 0.33729305 0.28885952 ... 0.22011631 0.01283719 0.55218205
0 0 4 2,0 0 4,833.0556481172943,0.19991691 0.17517712 0.0455962  ... 0.01923781 0.49512835 0.35831083
0 3 2 0,0 3 2,499.83338887037655,2.74881539e-01 3.17344949e-02 3.17399643e-02 ... 1.38598330e+02
 1.30294081e-01 5.46499590e-02
0 3 2 1,0 3 2,366.54448517160944,0.07657818 0.32095067 0.30211882 ... 0.29980862 0.40222093 0.26263078
0 3 2 2,0 3 2,149.95001666111295,2.01303410e-02 3.58957190e-01 1.43380938e-01 ... 1.16164446e-01
 1.72872204e+00 1.23370320e-03
0 2 3 0,0 2 3,399.86671109630123,0.02176311 0.00498201 0.28282087 ... 0.32287871 0.03217984 0.05680482
0 2 3 1,0 2 3,316.5611462845718,0.33214314 0.21208226 0.21791903 ... 0.10594462 0.01254627 0.06008498
0 2 3 2,0 2 3,266.5778073975342,0.08478709 0.16150895 0.05120149 ... 0.46352173 0.09589965 0.01958366
0 1 4 0,0 1 4,1266.2445851382872,0.21208195 0.12476114 0.48714281 ... 0.01996807 0.47368673 0.74005157
0 1 4 1,0 1 4,699.7667444185272,1.26252649e-01 2.12639092e+01 1.34289834e-01 ... 1.39168814e-02
 6.42972446e-02 1.09758687e-01
